,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
0,57,616,2,1,3,-153263.20075894924,0.23,42658.02,-153263.20075894924
1,45,591,1,1,1,161474.30730573952,0.24,248327.61,161474.30730573952
2,59,613,1,1,1,14209.331170472313,0.09,24371.94,14209.331170472313
3,62,656,1,1,1,-77270.8971615558,0.17,48788.04,-77270.8971615558
4,45,567,2,1,5,282353.1824904715,0.22,47808.66,282353.1824904715
5,40,300,1,1,1,186133.53589746484,0.12,31875.4,249646.4414016817
6,35,318,1,1,1,101335.18715003086,0.03,31627.77,124557.8350086415
7,57,545,1,1,1,-129635.97651341364,0.08,90134.48,-129635.97651341364
8,44,316,1,1,1,-164230.28973520375,0.29,153383.25,-164230.28973520375
9,54,538,2,1,5,-100385.68158060308,0.23,30736.38,-90105.9028956423
10,40,316,1,1,1,-256997.4062920032,0.12,46493.72,-233862.4675771621
11,61,621,2,1,3,16199.820562777051,0.25,125928.79,16199.820562777051
12,46,591,1,1,1,43015.849398840575,0.24,81370.26,43015.849398840575
13,58,613,1,1,1,-177223.18834805524,0.12,61418.26,-177223.18834805524
14,40,644,3,1,5,16123.378077014168,0.25,45892.81,16123.378077014168
15,45,644,2,1,5,144259.26616964306,0.18,29561.58,178879.55787145835
16,48,352,1,1,1,-122897.38481720704,0.17,109107.45,-122897.38481720704
17,62,619,1,1,1,3663.075987899144,0.03,187001.88,3663.075987899144
18,44,300,1,1,1,489740.55883946974,0.35,28075.64,559740.5588394697
19,52,587,1,1,1,68323.38367680064,0.35,39124.78,86435.59617860371
20,57,561,1,1,1,-39909.54341443597,0.22,63026.22,-39909.54341443597
21,56,561,1,1,1,15876.285102139278,0.23,123495.81,15876.285102139278
22,47,308,1,1,1,481647.3761496623,0.12,62843.4,481647.3761496623
23,42,617,2,1,3,273340.95536635723,0.24,20743.65,344497.468989947
24,42,286,1,1,1,32885.36982068384,0.04,58682.2,32885.36982068384
25,41,346,1,1,1,-92628.20629301402,0.19,173856.79,-92628.20629301402
26,36,308,1,1,1,-17091.54788181004,0.01,68757.75,-17091.54788181004
27,49,308,1,1,1,51771.2351944449,0.17,39639.95,77473.50137816503
28,37,310,1,1,1,99042.6361841256,0.13,79011.7,99042.6361841256
29,41,288,1,1,1,-48963.55036090561,0.19,91329.38,-48963.55036090561
30,37,321,1,1,1,200707.693351556,0.01,47179.61,203273.1622356929
31,41,339,1,1,1,-170263.2794560638,0.16,18738.56,-120558.00493670272
32,57,578,1,1,1,103153.5479678066,0.07,7661.9,103516.04797077493
33,52,331,1,1,1,47346.89854924133,0.34,144416.22,47346.89854924133
34,62,656,1,1,1,-250673.97571426656,0.22,41928.62,-250673.97571426656
35,53,621,3,1,1,-192482.046027303,0.1,27982.2,-192482.046027303
36,46,660,3,1,3,228424.97414615643,0.02,34971.71,230355.54312317976
37,36,318,1,1,1,-117105.97405042702,0.04,187300.95,-117105.97405042702
38,36,562,1,1,1,248088.42173158744,0.14,31657.03,338403.843047651
39,53,587,3,1,5,-29999.525192713496,0.12,211309.96,-29999.525192713496
40,44,647,1,1,1,-145485.470259673,0.16,51887.25,-143478.19424909636
41,52,551,1,1,1,38423.50199144202,0.32,68751.27,38423.50199144202
42,61,572,2,1,3,312897.41328443354,0.15,133564.14,312897.41328443354
43,58,561,1,1,1,115164.68494862856,0.3,42458.79,115164.68494862856
44,61,591,1,1,1,-288024.5286338032,0.03,53212.75,-288024.5286338032
45,58,578,3,1,3,-76152.12977154632,0.19,21363.84,-76152.12977154632
46,59,552,1,1,1,70608.95330695083,0.3,68136.23,70608.95330695083
47,47,352,1,1,1,-16805.635923251513,0.31,13052.38,20850.754106089447
48,43,343,2,1,4,-74450.23492616149,0.26,39049.45,-72903.42993637122
49,58,299,2,1,2,54474.15652553393,0.21,10855.47,54474.15652553393
50,63,277,2,1,2,13275.353696893955,0.16,30094.21,13275.353696893955
51,58,614,1,1,1,26081.51110228662,0.32,74806.7,26081.51110228662
52,57,561,3,1,3,-156766.05452016505,0.15,129884.1,-156766.05452016505
53,57,561,2,1,5,53907.622742241954,0.33,78668.12,53907.622742241954
54,36,586,2,1,5,-300932.71179366106,0.08,56216.08,-300932.71179366106
55,41,345,3,1,3,-155386.19432056436,0.12,88141.94,-155386.19432056436
56,45,345,2,1,3,-318099.0412904626,0.06,7139.79,-313161.86729323136
